Book Id,Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
39307649,Bushido: The Samurai Code of Honour: The truth about Japanese Samurai wisdom,James   Walker,0,2.86,,132,2018,,,22/06/2021,to-read,0
26877601,Pixar Storytelling: Rules for Effective Storytelling Based on Pixar’s Greatest Films,Dean Movshovitz,0,3.97,Bloop Animation,,2015,2017,,22/06/2021,to-read,0
49952699,Introduction to Data Visualization & Storytelling: A Guide For The Data Scientist,Jose Berengueres,0,3.96,,137,2019,,,22/06/2021,currently-reading,1
159604,Woman at Point Zero,Nawal El Saadawi,5,4.15,Zed Books,128,1984,1977,14/06/2021,21/01/2021,read,1
840625,Under African Skies: Modern African Stories,Charles R. Larson,4,3.91,"Farrar, Strauss & Giroux-3pl",336,1998,1997,11/06/2021,27/03/2021,read,1
7806819,A Swamp Full of Dollars: Pipelines and Paramilitaries at Nigeria's Oil Frontier,Michael Peel,0,3.67,Lawrence Hill Books,256,2010,2009,,27/06/2020,currently-reading,1
3228917,Outliers: The Story of Success,Malcolm Gladwell,5,4.19,"Little, Brown and Company",309,2008,2008,01/12/2020,27/06/2020,read,1
906497,Sundowners,Lesley Lokko,0,4.13,Orion,654,2004,2003,,14/06/2021,to-read,0
21256559,Men of the South,Zukiswa Wanner,0,3.74,,256,2012,2011,,14/06/2021,to-read,0
166293,Ripples in the Pool,Rebeka Njau,0,3.7,Heinemann Educational Books,160,1978,1975,,14/06/2021,to-read,0
4654809,Secret Son,Laila Lalami,0,3.48,Algonquin Books of Chapel Hill,291,2009,2009,,14/06/2021,to-read,0
12085194,This September Sun,Bryony Rheam,0,3.48,Amabooks Publishers,376,2009,2009,,14/06/2021,to-read,0
206406,Tropical Fish: Tales from Entebbe,Doreen Baingana,0,3.68,Harlem Moon,184,2006,2005,,14/06/2021,to-read,0
11541822,Patchwork,Ellen Banda-Aaku,0,3.78,Penguin,216,2011,2011,,14/06/2021,to-read,0
1908271,The Promised Land,Grace Ogot,0,3.89,East African Educ. Publ.,208,2000,1966,,14/06/2021,to-read,0
7204,As the Crow Flies,Véronique Tadjo,0,3.58,Heinemann Educational Books,106,2001,1992,,14/06/2021,to-read,0
73973,Changes: A Love Story,Ama Ata Aidoo,0,3.8,The Feminist Press at CUNY,208,1993,1991,,14/06/2021,to-read,0
2051521,Daughters of Africa,Margaret Busby,0,4.34,Ballantine Books,1093,1994,1992,,14/06/2021,to-read,0
6586840,Our Wife & Other Stories,Karen King-Aribisala,0,3.79, Laurier Books Ltd ,210,2004,1990,,14/06/2021,to-read,0
8109029,Bitter Leaf,Chioma Okereke,0,3.32,Virago Fiction,418,2010,2010,,14/06/2021,to-read,0
920198,"Your Madness, Not Mine: Stories of Cameroon",Makuchi,0,3.79,Ohio University Press,158,1999,1996,,14/06/2021,to-read,0
231558,Our Sister Killjoy,Ama Ata Aidoo,0,3.87,Longman Publishing Group,134,1997,1977,,14/06/2021,to-read,0
420464,Butterfly Burning,Yvonne Vera,0,3.64,"Farrar, Strauss & Giroux-3pl",151,2000,1998,,14/06/2021,to-read,0
6811760,Neighbours: The Story of a Murder,Lília Momplé,0,3.86,Penguin South Africa,144,2009,1995,,14/06/2021,to-read,0
6310378,In Dependence,Sarah Ladipo Manyika,0,3.87,Legends Press,272,2008,2008,,14/06/2021,to-read,0
463257,The Collector of Treasures and Other Botswana Village Tales,Bessie Head,0,3.92,Longman Publishing Group,109,2008,1977,,14/06/2021,to-read,0
107824,The Translator,Leila Aboulela,0,3.57,"Grove Press, Black Cat",208,2006,1999,,14/06/2021,to-read,0
1191423,African Love Stories: An Anthology,Ama Ata Aidoo,0,3.91,Ayebia Clarke Publishing,249,2006,2006,,14/06/2021,to-read,0
475285,Efuru,Flora Nwapa,0,3.94,Heinemann Educational Books,288,1966,1966,,14/06/2021,to-read,0
6775396,Black Mamba Boy,Nadifa Mohamed,0,3.73,HarperCollins Publishers,280,2010,2010,,14/06/2021,to-read,0
308424,Aya (Aya #1),Marguerite Abouet,0,3.76,Drawn and Quarterly,106,2007,2005,,14/06/2021,to-read,0
13354352,Looking for Transwonderland: Travels in Nigeria,Noo Saro-Wiwa,0,3.78,Granta Books,311,2012,2012,,14/06/2021,to-read,0
89821,The Map of Love,Ahdaf Soueif,0,3.81,Anchor Books,529,2000,1999,,14/06/2021,to-read,0
13376363,Teaching My Mother How to Give Birth,Warsan Shire,0,4.26,Flipped Eye,37,2011,2011,,14/06/2021,to-read,0
17883925,Dust,Yvonne Adhiambo Owuor,0,3.76,Knopf,369,2014,2013,,14/06/2021,to-read,0
210722,The Joys of Motherhood,Buchi Emecheta,0,4.18,Heinemann Educational Books,224,1994,1979,,14/06/2021,to-read,0
111050,July's People,Nadine Gordimer,0,3.52,Penguin Books,160,1982,1981,,14/06/2021,to-read,0
7784648,The Memory of Love,Aminatta Forna,0,3.92,Bloomsbury,445,2010,2010,,14/06/2021,to-read,0
158674,Nervous Conditions,Tsitsi Dangarembga,0,4.04,Seal Press (CA),204,2004,1988,,14/06/2021,to-read,0
25899336,When Breath Becomes Air,Paul Kalanithi,5,4.39,Random House,208,2016,2016,14/06/2021,13/06/2021,read,1
152622,Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,0,4.33,Heinemann Educational Books,114,1986,1981,,13/06/2021,currently-reading,1
7194279,The Secret Lives of Baba Segi's Wives,Lola Shoneyin,4,4.04,William Morrow,280,2010,2010,10/06/2018,26/03/2018,read,2
13588385,There Was a Country: A Personal History of Biafra,Chinua Achebe,5,4,Penguin Press,352,2012,2012,23/12/2019,23/12/2019,read,2
20794875,Lost Islamic History: Reclaiming Muslim Civilisation from the Past,Firas Alkhateeb,5,4.47,Hurst & Co.,217,2014,2014,13/06/2021,12/06/2021,read,1
612188,"Memories, Dreams, Reflections",C.G. Jung,0,4.15,Vintage,430,1989,1961,01/06/2000,01/01/2018,to-read,2
15811505,Ghana Must Go,Taiye Selasi,5,3.85,Penguin Press,336,2013,2013,12/06/2021,11/06/2021,nigerian,1
40961621,"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,5,4.15,Mariner Books,442,1999,1998,03/03/2021,27/02/2021,read,1
944103,The Palm-Wine Drinkard,Amos Tutuola,4,3.79,Faber and Faber ,125,1977,1952,05/04/2021,31/03/2021,read,1
32164100,Data Science: Create Teams That Ask the Right Questions and Deliver Real Value,Doug Rose,5,3.64,Apress,251,2016,,08/04/2021,31/03/2021,read,1
2570,The Lion and the Jewel,Wole Soyinka,4,3.77,"Oxford University Press, USA",65,1990,1962,,02/06/2021,read,1
51996436,"Women and Leadership: Real Lives, Real Lessons",Julia Gillard,4,4.04,Adult Local Vintage,368,2020,,07/06/2021,23/08/2020,read,1
23878688,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,0,4.27,Northfield Publishing,232,2014,1990,,10/02/2021,to-read,0
49151001,His Only Wife,Peace Adzo Medie,4,3.76,Algonquin Books,288,2020,2020,09/06/2021,14/04/2021,read,1
602809,The Trouble with Nigeria,Chinua Achebe,5,4.07,Fourth Dimension Publishing Company,100,2000,1984,07/06/2021,27/06/2020,read,1
126381,Purple Hibiscus,Chimamanda Ngozi Adichie,5,4.18,Harper Perennial,336,2005,2003,,26/03/2018,read,1
4900,Heart of Darkness,Joseph Conrad,2,3.43,Green Integer,188,2003,1899,31/05/2021,04/08/2019,read,1
3875413,The Igbo-Igala Borderland: Religion and Social Control in Indigenous African Colonialism,Austin J. Shelton,0,4,State University of New York Press,274,1971,1971,,16/05/2021,to-read,0
53808062,Kings of Shanghai,Jonathan Kaufman,0,4.26,,,2020,2020,,12/03/2021,to-read,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,0,4.18,Crown Business,195,2014,2014,,28/04/2021,to-read,0
53424992,The 5am Club,Robin S. Sharma,0,3.79,,314,,2018,,28/04/2021,to-read,0
26218619,"The Idea in You: How to Find It, Build It, and Change Your Life",Martin Amor,0,3.74,Penguin,242,2015,2015,,28/04/2021,to-read,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,5,3.72,Anchor Books,209,1994,1958,,26/03/2018,read,2
32969150,Stay with Me,Ayọ̀bámi Adébáyọ̀,4,4.06,Knopf ,260,2017,2017,14/04/2021,27/06/2020,read,1
36341620,Calypso,David Sedaris,0,4.11,"Little, Brown and Company",261,2018,2018,,07/04/2019,to-read,0
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,0,3.95,W. W. Norton  Company,304,2014,2012,,08/04/2021,currently-reading,1
25667918,"Binti (Binti, #1)",Nnedi Okorafor,0,3.89,Tor.com,96,2015,2015,,31/03/2021,to-read,0
880196,Sozaboy,Ken Saro-Wiwa,0,3.97,Pearson,188,1995,1985,,31/03/2021,to-read,0
1939453,A Month and a Day & Letters,Ken Saro-Wiwa,0,3.77,Ayebia Clarke Publishing,240,2005,2005,,31/03/2021,to-read,0
54606724,Africa Kills Her Sun,Ken Saro-Wiwa,5,4.55,,,,,,31/03/2021,read,1
1056201,Hellspark,Janet Kagan,0,4.37,Tom Doherty Associates,311,1988,1988,,28/03/2021,to-read,0
25810500,What Is Not Yours Is Not Yours,Helen Oyeyemi,0,3.65,Riverhead Books,325,2016,2016,,22/03/2021,currently-reading,1
28587693,"Never Look an American in the Eye: A Memoir of Flying Turtles, Colonial Ghosts, and the Making of a Nigerian American",Okey Ndibe,3,3.75,Soho Press,210,2016,2016,22/03/2021,27/06/2020,read,1
118091,A Daughter of Isis: The Autobiography of Nawal El Saadawi,Nawal El Saadawi,0,3.91,Zed Books,294,1999,1986,,22/03/2021,to-read,0
32620356,Daring to Drive: A Saudi Woman's Awakening,Manal Al-Sharif,5,4.32,Simon & Schuster,289,2017,2017,,18/06/2018,read,1
41081373,"Girl, Woman, Other",Bernardine Evaristo,4,4.32,Hamish Hamilton,453,2019,2019,14/03/2021,10/03/2021,read,1
9912728,Oil on Water,Helon Habila,5,3.61,W. W. Norton  Company,239,2011,2010,10/03/2021,03/03/2021,read,1
55659527,Violated,Amaka Azuike,0,4.75,Parresia Publishers Ltd,119,2019,2019,,08/03/2021,to-read,0
34006786,"Women Who Dared: 52 Stories of Fearless Daredevils, Adventurers, and Rebels",Linda Skeers,0,4.16,Sourcebooks Explore,128,2017,,,08/03/2021,to-read,0
38744579,What a Time to Be Alone: The Slumflower's Guide to Why You Are Already Enough,Chidera Eggerue,0,3.78,Quadrille Publishing,192,2018,2018,,08/03/2021,to-read,0
31346612,What a Time to be Alive,Mark Di Stefano,0,4.02,Melbourne University Press,277,2016,2016,,08/03/2021,to-read,0
34884359,We're Going to Need More Wine,Gabrielle Union,0,4.2,Dey Street Books,272,2017,2017,,08/03/2021,to-read,0
53033916,Dating intelligently,Laju Iren,0,4,Laju iren publications,198,2018,,,08/03/2021,to-read,0
78130,Killing Hope: U.S. Military and C.I.A. Interventions Since World War II,William Blum,0,4.21,Common Courage Press,500,2008,1995,,04/03/2021,to-read,0
37486222,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,0,4.29,Harper Paperbacks,272,2018,2018,,07/04/2019,to-read,0
41817480,Travelers,Helon Habila,0,4.13,W. W. Norton  Company,288,2019,2019,,03/03/2021,to-read,0
34521870,Mistress Suffragette,Diana   Forbes,0,4.29,Penmore Press LLC,333,2017,2017,,03/03/2021,to-read,0
49823970,"More Than Love, A Husband's Tale",Peter B. Forster,0,4.3,,469,2019,2019,,03/03/2021,to-read,0
2547,The Prophet,Kahlil Gibran,0,4.23,Rupa & Co,127,2010,1923,,03/03/2021,to-read,0
13079982,Fahrenheit 451,Ray Bradbury,0,3.97,Simon & Schuster,194,2011,1953,,03/03/2021,to-read,0
2657,To Kill a Mockingbird,Harper Lee,0,4.27,Harper Perennial Modern Classics ,336,2006,1960,,03/03/2021,to-read,0
865,The Alchemist,Paulo Coelho,0,3.9,HarperCollins,197,1993,1988,,03/03/2021,to-read,0
40961427,1984,George Orwell,0,4.19,Houghton Mifflin Harcourt,298,2013,1949,,03/03/2021,to-read,0
52036,Siddhartha,Hermann Hesse,0,4.06,Bantam Books,152,1981,1922,,03/03/2021,to-read,0
27668,Bury the Chains,Adam Hochschild,0,4.29,Mariner Books,496,2006,2005,,03/03/2021,to-read,0
781787,Out of Africa,Isak Dinesen,0,3.92,The Modern Library,401,1992,1937,,02/03/2021,to-read,0
37415,Their Eyes Were Watching God,Zora Neale Hurston,0,3.97,Amistad,238,2006,1937,,02/03/2021,to-read,0
6149,Beloved,Toni Morrison,0,3.93,Vintage,324,2004,1987,,02/03/2021,to-read,0
7604,Lolita,Vladimir Nabokov,0,3.88,Penguin,331,1995,1955,,02/03/2021,to-read,0
110890,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,0,4.35,Knopf Publishing Group,469,2006,2006,,02/03/2021,to-read,0
7940583,Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,0,4.12,Chatto  Windus,336,2010,2010,,02/03/2021,to-read,0
4865,How to Win Friends and Influence People,Dale Carnegie,0,4.22,Gallery Books,288,1998,1936,,02/03/2021,to-read,0
2184798,Blood River: A Journey to Africa's Broken Heart,Tim Butcher,0,3.97,Vintage,363,2008,2007,,02/03/2021,to-read,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,0,4.04,W.W. Norton & Company,498,2005,1997,,02/03/2021,to-read,0
4633632,"A History Of The Negro Troops In The War Of The Rebellion, 1861 65: Preceded By A Review Of The Military Services Of Negroes In Ancient And Modern Times",George W. Williams,0,4,Bergman Books,353,1968,,,28/02/2021,to-read,0
23719408,Under the Udala Trees,Chinelo Okparanta,5,4.03,Houghton Mifflin Harcourt,328,2015,2015,27/02/2021,27/06/2020,read,1
41155465,It's Not About the Burqa,Mariam Khan,3,4.25,Picador,272,2020,2019,26/02/2021,10/02/2021,read,1
44595007,Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,4,3.75,Benbella Books,300,2019,2019,22/02/2021,19/02/2021,read,1
40097951,The Silent Patient,Alex Michaelides,3,4.18,Celadon Books,325,2019,2019,10/02/2021,01/01/2020,read,1
